Timestamp; MiddleBoard Address; Uart Port on MB; Log
13/06/2019 13:56:45; 0x08; 1; TX PORT     : 3
13/06/2019 13:56:45; 0x08; 1; TX DATA     : CONFIRMED - ACK, 1
13/06/2019 13:56:45; 0x08; 1; PAYLOAD     : 0B 
13/06/2019 13:56:45; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:56:45; 0x08; 1; U/L FREQ    : 867100000
13/06/2019 13:56:45; 0x08; 1; TX POWER    : 7
13/06/2019 13:56:45; 0x08; 1; CHANNEL MASK: 00FF 
13/06/2019 13:56:45; 0x08; 1; ###### ===== MCPS-Indication ==== ######
13/06/2019 13:56:45; 0x08; 1; STATUS      : OK
13/06/2019 13:56:45; 0x08; 1; ###### ===== DOWNLINK FRAME 18 ==== ######
13/06/2019 13:56:45; 0x08; 1; RX WINDOW   : 1
13/06/2019 13:56:45; 0x08; 1; RX PORT     : 0
13/06/2019 13:56:45; 0x08; 1; DATA RATE   : DR_5
13/06/2019 13:56:45; 0x08; 1; RX RSSI     : -57
13/06/2019 13:56:45; 0x08; 1; RX SNR      : 7
